timestep,x_predicted_0,x_predicted_1,P_predicted_0_0,P_predicted_0_1,P_predicted_1_0,P_predicted_1_1,x_updated_0,x_updated_1,innovation_0,innovation_1,S_0_0,S_0_1,S_1_0,S_1_1,P_updated_0_0,P_updated_0_1,P_updated_1_0,P_updated_1_1
142,-5.75197,3.69506,0.185078,0,0,0.185078,-5.63862,4.01014,0.419542,1.16628,0.685078,0,0,0.685078,0.135078,0,0,0.135078
143,-5.63862,4.01014,0.185078,0,0,0.185078,-5.35479,3.57591,1.05061,-1.60733,0.685078,0,0,0.685078,0.135078,0,0,0.135078
144,-5.35479,3.57591,0.185078,0,0,0.185078,-4.94997,3.55766,1.4985,-0.0675595,0.685078,0,0,0.685078,0.135078,0,0,0.135078
145,-4.94997,3.55766,0.185078,0,0,0.185078,-5.00963,3.67567,-0.220864,0.436828,0.685078,0,0,0.685078,0.135078,0,0,0.135078
146,-5.00963,3.67567,0.185078,0,0,0.185078,-5.27093,3.62092,-0.967188,-0.202678,0.685078,0,0,0.685078,0.135078,0,0,0.135078
147,-5.27093,3.62092,0.185078,0,0,0.185078,-5.32494,3.68161,-0.199934,0.224673,0.685078,0,0,0.685078,0.135078,0,0,0.135078
148,-5.32494,3.68161,0.185078,0,0,0.185078,-4.9243,3.75594,1.48301,0.27513,0.685078,0,0,0.685078,0.135078,0,0,0.135078
149,-4.9243,3.75594,0.185078,0,0,0.185078,-4.11053,3.59883,3.0122,-0.581565,0.685078,0,0,0.685078,0.135078,0,0,0.135078
150,-4.11053,3.59883,0.185078,0,0,0.185078,-3.76226,3.42947,1.28914,-0.626889,0.685078,0,0,0.685078,0.135078,0,0,0.135078
151,-3.76226,3.42947,0.185078,0,0,0.185078,-3.55932,3.1599,0.751197,-0.997844,0.685078,0,0,0.685078,0.135078,0,0,0.135078
152,-3.55932,3.1599,0.185078,0,0,0.185078,-3.2194,3.32139,1.25823,0.597783,0.685078,0,0,0.685078,0.135078,0,0,0.135078
153,-3.2194,3.32139,0.185078,0,0,0.185078,-3.00759,3.01602,0.784048,-1.13034,0.685078,0,0,0.685078,0.135078,0,0,0.135078
154,-3.00759,3.01602,0.185078,0,0,0.185078,-3.14223,2.69111,-0.498371,-1.2027,0.685078,0,0,0.685078,0.135078,0,0,0.135078
