timestep,x_smoothed_0,P_smoothed_0_0
773,2.95318,0.0780869
774,3.07003,0.0780869
775,3.16201,0.0780869
776,3.27902,0.0780869
777,3.36619,0.0780869
778,3.49689,0.0780869
779,3.62376,0.0780869
780,3.68439,0.0780869
781,3.88405,0.0780869
782,4.11849,0.0780869
783,4.3396,0.0780869
784,4.51974,0.0780869
785,4.70606,0.0780869
786,4.8846,0.0780869
787,4.9677,0.0780869
788,5.04408,0.0780869
789,5.03156,0.0780869
790,4.94668,0.0780869
791,4.86172,0.0780869
792,4.80385,0.0780869
793,4.77444,0.0780869
794,4.81817,0.0780869
795,4.77479,0.0780869
796,4.80337,0.0780869
797,4.88411,0.0780869
798,5.02632,0.0780869
799,5.07278,0.0780869
800,5.16387,0.0780869
801,5.24387,0.0780869
802,5.27821,0.0780869
803,5.18254,0.0780869
804,5.02584,0.0780869
805,4.84044,0.0780869
806,4.63559,0.0780869
807,4.46734,0.0780869
808,4.39138,0.0780869
809,4.4097,0.0780869
810,4.48408,0.0780869
811,4.61588,0.0780869
812,4.69264,0.0780869
813,4.68542,0.0780869
814,4.68133,0.0780869
815,4.73871,0.0780869
816,4.76154,0.0780869
817,4.8658,0.0780869
818,4.98845,0.0780869
819,5.09207,0.0780869
820,5.05209,0.0780869
821,5.11291,0.0780869
822,5.18739,0.0780869
823,5.23007,0.0780869
824,5.3632,0.0780869
825,5.38917,0.0780869
826,5.35498,0.0780869
827,5.28531,0.0780869
828,5.09812,0.0780869
829,4.9977,0.0780869
830,4.97298,0.0780869
831,5.05093,0.0780869
832,5.0443,0.0780869
833,4.98929,0.0780869
834,4.9997,0.0780869
835,4.9085,0.0780869
836,4.90072,0.0780869
837,4.81294,0.0780869
838,4.78783,0.0780869
839,4.77444,0.0780869
840,4.85045,0.0780869
841,4.88543,0.0780869
842,4.87754,0.0780869
843,4.88665,0.0780869
844,4.91245,0.0780869
845,5.01302,0.0780869
846,5.10584,0.0780869
847,5.17168,0.0780869
848,5.34909,0.0780869
849,5.49804,0.0780869
850,5.52049,0.0780869
851,5.60677,0.0780869
852,5.57109,0.0780869
853,5.63369,0.0780869
854,5.57687,0.0780869
855,5.45771,0.0780869
